descricao,preco,modelo,marca,rating,url
"        MacBook Pro (de 13 polegadas, Processador M1 da Apple com CPU 8‑core e GPU 8‑core, 8 GB RAM, 512 GB) - Cinzento sideral       ","R$11.529,00",MYD92BZ/A,Apple,"4,8 de 5 estrelas",https://www.amazon.com.br//Macbook-Retina-Apple-512GB-Processador/dp/B08R3YTBTM/ref=sr_1_15?qid=1639236160&s=computers&sr=1-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Ultra 14"" Pentium 4GB 120GB SSD W10, UB320, Preto       ","R$2.518,90",UB320,Ultra,"4,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Ultra-Pentium-120GB-UB320/dp/B0932LHR4Z/ref=sr_1_16?qid=1639236160&s=computers&sr=1-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Acer Aspire 5 A515-54-53VN Core I5 –10210U 8GB Win10, preto       ","R$3.443,61",NX.AX0AL.005,ACER,"5,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Aspire-A515-54-53VN-10210U-Win10/dp/B09B1G4V3T/ref=sr_1_17?qid=1639236160&s=computers&sr=1-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Inspiron i15-3501-A25P 15.6"" HD 10ª Geração Intel Core i3 4GB 256GB SSD Windows 10 Preto       ","R$3.077,05",,Dell,"4,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-i15-3501-A25P-Gera%C3%A7%C3%A3o/dp/B08WHGV9RV/ref=sr_1_18?qid=1639236160&s=computers&sr=1-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7 4800H 8GB RAM 512 GB SSD 15.6' Win10       ,"R$6.199,00",AN515-44-R8HN,ACER,"4,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Aspire-AN515-44-R8HN-Ryzen-4800H/dp/B092NSG385/ref=sr_1_19?qid=1639236160&s=computers&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        ACER Notebook Gamer Nitro 5 AN515-55-73R9, CI7 10750H, 8GB, 512GB SSD, Windows10. 15,6”, preto       ","R$5.600,00",AN515-55-73R9,ACER,,https://www.amazon.com.br//ACER-Notebook-AN515-55-73R9-10750H-Windows10/dp/B09JVHNF4Q/ref=sr_1_20?qid=1639236160&s=computers&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Gamer Acer Nitro AN515-44-R5YZ NVIDIA GeForce GTX 1650 AMD Ryzen 5-4600H 16GB 512GB SSD Tela Full HD 15.6” Endless OS       ,"R$6.499,00",,ACER,"4,3 de 5 estrelas",https://www.amazon.com.br//Notebook-AN515-44-R5YZ-GeForce-5-4600H-Endless/dp/B09B1FZYVV/ref=sr_1_21?qid=1639236160&s=computers&sr=1-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Alienware m15 R6 AW15-i1100-M30P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3070 Win 11       ","R$14.499,00",AW15-i1100-M30P,Dell,"3,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Alienware-AW15-i1100-M30P-Intel/dp/B09HJMSQ4X/ref=sr_1_22?qid=1639236160&s=computers&sr=1-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Inspiron i15-3501-A70S 15.6"" HD 11ª Geração Intel Core i7 8GB 256GB SSD NVIDIA GeForce Windows 10       ","R$5.639,00",,Dell,"4,5 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-i15-3501-A70S-Gera%C3%A7%C3%A3o/dp/B0953Y4C5G/ref=sr_1_23?qid=1639236160&s=computers&sr=1-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Multilaser Legacy Book Intel Pentium Quadcore 4GB 64GB Windows 10 Home 14,1 Pol. HD Preto - PC310       ","R$1.334,28",35739,Multilaser,"3,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Multilaser-Pentium-Quadcore-Windows/dp/B08GKTVNH3/ref=sr_1_24?qid=1639236160&s=computers&sr=1-24&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        NOTEBOOK SAMSUNG BOOK 15,6"" FHD/ I5-1135G7/ 8GB/ 1TB/ WIN 10 HOME       ","R$3.679,00",NP550XDA-KF1BR,SAMSUNG,"4,1 de 5 estrelas",https://www.amazon.com.br//NOTEBOOK-SAMSUNG-BOOK-I5-1135G7-HOME/dp/B0942Z846V/ref=sr_1_25?qid=1639236229&s=computers&sr=1-25&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Acer Aspire 5 A515-54G-52C1 Core i5-10210U 8GB Win10+       ,"R$4.084,99",A515-54G-52C1,ACER,"4,4 de 5 estrelas",https://www.amazon.com.br//Notebook-Aspire-A515-54G-52C1-i5-10210U-Win10/dp/B09B8MG464/ref=sr_1_26?qid=1639236229&s=computers&sr=1-26&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
